#bin	name	chrom	strand	txStart	txEnd
0	NM_001308203	chr1	+	66999251	67216822
0	NM_032291	chr1	+	66999638	67216822
1	NM_001145277	chr1	+	16767166	16786584
1	NM_001145278	chr1	+	16767166	16786584
1	NM_018090	chr1	+	16767166	16786584
1	NR_126031	chr1	+	33547778	33567493
1	NM_001323575	chr1	-	48998526	50489626
1	NM_001323574	chr1	-	48998526	50489626
1	NR_136623	chr1	-	48998526	50489626
1	NM_013943	chr1	+	25071759	25170815
1	NM_032785	chr1	-	48998526	50489626
1	NM_001293562	chr1	+	33546713	33586132
1	NM_001323573	chr1	-	48998526	50489626
1	NM_052998	chr1	+	33546713	33586132
1	NM_001080397	chr1	+	8378144	8404227
1	NM_001301826	chr1	+	33547778	33567493
1	NM_001301825	chr1	+	33547778	33586132
1	NM_001301824	chr1	+	33546729	33586132
1	NM_001301823	chr1	+	33546729	33586132
2	NM_001195684	chr1	-	92145899	92371559
2	NM_001195683	chr1	-	92145899	92351836
2	NM_001918	chr1	-	100652477	100715409
2	NM_003243	chr1	-	92145899	92351836
2	NR_036634	chr1	-	92145899	92351836
3	NM_021222	chr1	+	150980866	151008189
3	NM_001303243	chr1	+	150980866	151008189
3	NM_030806	chr1	+	184356149	184598155
3	NM_001286644	chr1	-	175913961	176176380
3	NM_001303242	chr1	+	150980866	151008189
3	NM_001303229	chr1	+	150980866	151008189
3	NM_022457	chr1	-	175913961	176176380
3	NR_130130	chr1	+	150980866	151008189
3	NR_130131	chr1	+	150980866	151008189
3	NR_130132	chr1	+	150980866	151008189
3	NR_130135	chr1	+	150980866	151008189
3	NM_001001740	chr1	-	175913961	176176380
4	NM_173083	chr1	-	226418849	226497204
4	NM_001270410	chr1	-	226418849	226497449
4	NM_001270409	chr1	-	226418849	226497204
9	NM_002744	chr1	+	1981908	2116834
9	NM_022114	chr1	+	2985741	3355185
9	NM_012405	chr1	-	6281252	6296044
9	NM_015215	chr1	+	6845383	7829766
9	NM_017891	chr1	-	1017197	1051736
9	NM_001242874	chr1	+	2005424	2116834
9	NM_001330306	chr1	-	1017197	1051736
9	NM_001033582	chr1	+	2036154	2116834
9	NM_001033581	chr1	+	2005085	2116834
9	NM_199454	chr1	+	2985741	3355185
10	NM_001099850	chr1	-	13328195	13698405
10	NM_001039361	chr1	+	13629924	13635299
10	NM_001291381	chr1	+	13629931	13635299
11	NR_046507	chr1	-	20969149	20978686
11	NM_001309193	chr1	+	23037330	23247993
11	NM_001309192	chr1	+	23037330	23247993
11	NR_135054	chr1	-	19918295	19923326
11	NM_017449	chr1	+	23037330	23247993
11	NM_004442	chr1	+	23037330	23247993
11	NM_032409	chr1	+	20959947	20978004
11	NM_032236	chr1	-	22005083	22109688
11	NM_001330394	chr1	-	22005083	22109688
12	NM_001145454	chr1	-	26210676	26232993
12	NM_006600	chr1	+	27248212	27273362
12	NM_004437	chr1	+	29213602	29446558
12	NM_014676	chr1	-	31404352	31538564
12	NM_203343	chr1	+	29213602	29446558
12	NM_203342	chr1	+	29213602	29446558
12	NR_073499	chr1	+	32479294	32526460
12	NR_073498	chr1	+	32479294	32509482
12	NM_001166007	chr1	+	29213602	29446558
12	NM_001166006	chr1	+	29241087	29391733
12	NM_001166005	chr1	+	29213602	29446558
12	NM_006559	chr1	+	32479294	32509482
12	NM_001990	chr1	-	28296854	28415148
12	NM_001271878	chr1	+	32479294	32509482
12	NM_001282562	chr1	-	28296854	28415148
12	NM_001282561	chr1	-	28296854	28415148
12	NM_001282560	chr1	-	28303783	28415148
12	NM_001020658	chr1	-	31404352	31538564
13	NR_136703	chr1	-	35641978	35658746
13	NM_001321473	chr1	+	36690012	36770957
13	NM_012090	chr1	+	39549838	39952810
13	NR_136702	chr1	-	35641978	35658746
13	NM_052896	chr1	-	33979598	34631443
13	NM_001321471	chr1	+	36690012	36770957
13	NM_005066	chr1	-	35649200	35658743
13	NM_001281956	chr1	-	33979598	34630875
13	NM_005119	chr1	+	36690016	36770957
14	NM_018150	chr1	+	44870831	45117396
14	NM_001319957	chr1	+	44889495	45117396
